model_id,parameters,WRMSSE_m1,WRMSSE_m2,WRMSSE_m3
0000,"{'fcst_horizon': 4, 'history_length': 730, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 100, 'num_leaves': 64, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': 3}}",3.9452623275998495,4.471242762491726,5.383358537936656
0002,"{'fcst_horizon': 4, 'history_length': 730, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 64, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",2.959889331067141,4.0524700945483545,4.751779522537831
0003,"{'fcst_horizon': 4, 'history_length': 730, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 500, 'num_leaves': 64, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",2.9313090477935275,4.146800889177107,4.803031736847851
0004,"{'fcst_horizon': 4, 'history_length': 730, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 800, 'num_leaves': 64, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",2.9477571518166887,4.288219983022073,4.881576526789933
0005,"{'fcst_horizon': 4, 'history_length': 730, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 64, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1, 'sub_feature': 0.7}}",3.0270309986590767,3.931809220352108,4.5848992647872775
0006,"{'fcst_horizon': 4, 'history_length': 730, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 64, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1, 'sub_feature': 0.3}}",3.2555046071278166,3.7201512986695433,5.520067981295803
0007,"{'fcst_horizon': 4, 'history_length': 730, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1, 'sub_feature': 1.0}}",3.072076558846248,3.874391627162332,4.639812037002661
0008,"{'fcst_horizon': 4, 'history_length': 730, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 256, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1, 'sub_feature': 1.0}}",3.1854564691771707,4.347199598872072,5.280324570413641
0009,"{'fcst_horizon': 4, 'history_length': 1100, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",,,
0010,"{'fcst_horizon': 4, 'history_length': 730, 'use_scaling': 1, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': 3}}",,,
0011,"{'fcst_horizon': 4, 'history_length': 730, 'use_scaling': 0, 'use_weights': 1, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': 3}}",,,
0012,"{'fcst_horizon': 4, 'history_length': 730, 'history_start': 35, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",3.0492938470081525,3.8585618182832087,4.510942515767232
0013,"{'fcst_horizon': 4, 'history_length': 1100, 'history_start': 35, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",2.9783593146491123,3.652323474894569,4.516864111877516
0014,"{'fcst_horizon': 4, 'history_length': 730, 'history_start': 35, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 500, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",2.8526186093494657,3.7792738171359135,4.322544680170192
0015,"{'fcst_horizon': 4, 'history_length': 730, 'history_start': 35, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 64, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",2.9001693230666703,3.725411012927717,4.612124467419498
0016,"{'fcst_horizon': 4, 'history_length': 1100, 'history_start': 35, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 500, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",2.811556068399812,3.5674786387572204,4.125218265916819
0017,"{'fcst_horizon': 4, 'history_length': 730, 'history_start': 35, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 16, 'min_data_in_leaf': 10000, 'seed': 0, 'n_jobs': -1}}",2.9373302430851047,3.717393753631007,4.278478897498511
0018,"{'fcst_horizon': 3, 'history_length': 730, 'history_start': 35, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 500, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",,,
0019,"{'fcst_horizon': 2, 'history_length': 730, 'history_start': 35, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 500, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",,,
0020,"{'fcst_horizon': 1, 'history_length': 730, 'history_start': 35, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 500, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",,,
0021,"{'fcst_horizon': 4, 'history_length': 730, 'history_start': 35, 'by_variable': 'cat_id', 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.075, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 500, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",,,
0022,"{'fcst_horizon': 4, 'history_length': 1460, 'history_start': 35, 'by_variable': 'cat_id', 'seed': 0, 'n_jobs': 2, 'lgb_params': {'boosting_type': 'gbdt', 'objective': 'tweedie', 'tweedie_variance_power': 1.1, 'metric': 'rmse', 'subsample': 0.5, 'subsample_freq': 1, 'learning_rate': 0.05, 'num_leaves': 511, 'min_data_in_leaf': 4095, 'feature_fraction': 0.5, 'n_estimators': 1000, 'boost_from_average': False, 'verbose': -1}}",,,
0023,"{'fcst_horizon': 4, 'history_length': 1460, 'history_start': 35, 'by_variable': 'cat_id', 'seed': 0, 'n_jobs': 2, 'lgbm_params': {'boosting_type': 'gbdt', 'objective': 'tweedie', 'tweedie_variance_power': 1.1, 'metric': 'rmse', 'subsample': 0.5, 'subsample_freq': 1, 'learning_rate': 0.05, 'num_leaves': 511, 'min_data_in_leaf': 4095, 'feature_fraction': 0.5, 'n_estimators': 1000, 'boost_from_average': False, 'verbose': -1}}",,,
0024,"{'fcst_horizon': 4, 'history_length': 1460, 'history_start': 35, 'by_variable': 'cat_id', 'seed': 0, 'n_jobs': -1, 'lgbm_params': {'boosting_type': 'gbdt', 'objective': 'tweedie', 'tweedie_variance_power': 1.1, 'metric': 'rmse', 'subsample': 0.5, 'subsample_freq': 1, 'learning_rate': 0.05, 'num_leaves': 511, 'min_data_in_leaf': 4095, 'feature_fraction': 0.5, 'n_estimators': 1000, 'boost_from_average': False, 'verbose': -1}}",,,
0025,"{'fcst_horizon': None, 'history_length': 730, 'history_start': 35, 'recursive': True, 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.05, 'sub_feature': 0.5, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",,,
0026,"{'fcst_horizon': None, 'history_length': 730, 'history_start': 35, 'recursive': True, 'by_variable': 'cat_id', 'lgbm_params': {'objective': 'poisson', 'metric': ['rmse'], 'force_row_wise': True, 'learning_rate': 0.05, 'sub_feature': 0.5, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",,,
0027,"{'fcst_horizon': None, 'history_length': 730, 'history_start': 35, 'recursive': True, 'by_variable': 'cat_id', 'remove_features': ['lag1', 'lag7', 'id'], 'lgbm_params': {'objective': 'poisson', 'metric': 'rmse', 'force_row_wise': True, 'learning_rate': 0.05, 'sub_feature': 0.5, 'sub_row': 0.75, 'bagging_freq': 1, 'lambda_l2': 0.1, 'verbosity': 1, 'num_iterations': 300, 'num_leaves': 16, 'min_data_in_leaf': 100, 'seed': 0, 'n_jobs': -1}}",,,
